
Host: DESKTOP-810QB0K

Timers On : Thu Jun 13 10:30:06 2019
Timers Off: Thu Jun 13 10:30:33 2019

Wall Time:       27.05 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: DESKTOP-810QB0K

Timers On : Thu Jun 13 10:46:41 2019
Timers Off: Thu Jun 13 10:48:57 2019

Wall Time:      136.05 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| DFMP2 Aia Write                   :      0.000u      0.000s      0.028w     21 calls
DFMP2 Qia                           :      0.000u      0.000s      0.452w     21 calls
| DFMP2 Metric                      :      0.000u      0.000s      0.403w     21 calls
| DFMP2 Aia Read                    :      0.000u      0.000s      0.016w     21 calls
| DFMP2 (Q|A)(A|ia)                 :      0.000u      0.000s      0.010w     21 calls
| DFMP2 Qia Write                   :      0.000u      0.000s      0.007w     21 calls
DFMP2 Energy                        :      0.000u      0.000s      0.038w     21 calls
| DFMP2 Qia Read                    :      0.000u      0.000s      0.002w     42 calls
Total PK formation time             :      0.000u      0.000s      3.881w     21 calls
ccenergy                            :      0.000u      0.000s     43.658w     21 calls
| F build                           :      0.000u      0.000s      2.053w    396 calls
| Wmbej build                       :      0.000u      0.000s      4.176w    396 calls
| | C->Wmbej                        :      0.000u      0.000s      0.171w    396 calls
| | F->Wmbej                        :      0.000u      0.000s      2.894w    396 calls
| | E->Wmbej                        :      0.000u      0.000s      0.339w    396 calls
| | X->Wmbej                        :      0.000u      0.000s      0.610w    396 calls
| Z                                 :      0.000u      0.000s      0.411w    396 calls
| T2 Build                          :      0.000u      0.000s     15.504w    396 calls
| | BT2                             :      0.000u      0.000s     11.509w    396 calls
| | | ABCD:new                      :      0.000u      0.000s     11.508w    396 calls
| | | | ABCD:S                      :      0.000u      0.000s      0.991w    396 calls
| | | | ABCD:A                      :      0.000u      0.000s      0.930w    396 calls
| | | | ABCD:axpy                   :      0.000u      0.000s      9.274w    396 calls
| | FT2                             :      0.000u      0.000s      0.538w    396 calls
| | WmbejT2                         :      0.000u      0.000s      1.099w    396 calls
| | CT2                             :      0.000u      0.000s      1.290w    396 calls

**************************************************************************************
